Course ID;Course Name;Credit Hours;Description;Major
ACCT 2101;Principles of Accounting I;3;"A study of the underlying theory and application of financial accounting concepts. These concepts include measurement principles, financial statement preparation, and introductory financial analysis.


ACCT 2102.  Principles of Accounting II";Accounting
ACCT 2102;Principles of Accounting II;3;A study of the underlying theory and application of managerial accounting concepts. These concepts include cost measurement, decision making, budgeting, and variance analysis;Accounting
AE 1355;Aerospace Systems Design Competition I;3;"Team-oriented aerospace systems design project directed by a faculty advisor.  Typically a national student competition in aircraft, rotorcraft, or spacecraft design. Technical role commensurate with freshman standing.


AE 1601.  Introduction to Aerospace Engineering.  1 Credit Hour.

Overview of aerospace engineering. Common terminology, introduction to use of engineering models, professional and ethical standards and experience with team-based design of aerospace systems. Students cannot receive credit for both AE 1601 and AE 1350.


AE 1750.  Introduction to Bioengineering";Aerospace Engineering
AE 1750;Introduction to Bioengineering;3;An introduction to the field of bioengineering, including the application of engineering principles and methods to problems in biology and medicine, the integration of engineering with biology, and the emerging industrial opportunities. Crosslisted with BMED, CHE, ECE, ME, and MSE 1750;Aerospace Engineering
AE 2010;Thermodynamics & Fluids Fundamentals;4;Thermodynamic and fluid properties. Conservation laws, Isentropic flow, shocks and expansions, introduction to flows with friction and heat transfer. Applications to aerospace devices. Students cannot receive credit for both AE 2010 and AE 3450;Aerospace Engineering
AE 2010R;AE 2010 Recitation;0;This recitation is an optional session in support of AE 2010. This course is designed to allow students the chance to apply their knowledge of concepts through problem solving and group discussions;Aerospace Engineering
AE 2011;Fluid Fundamentals;2;Flowfield concepts, fluid properties, conservation equations for flows, isentropic flow, shocks and expansions, introduction to flows with friction and heat transfer. Applications to aerospace devices;Aerospace Engineering
AE 2011R;AR 2011 Recitation;0;This recitation is an optional session in support of AE 2011. This course is designed to allow students the chance to apply their knowledge of concepts through problem solving and group discussions;Aerospace Engineering
AE 2220;Dynamics;3;Motion of particles and mass center of bodies, kinematics and kinetics of rigid bodies in plane motion, work-energy and impulse-momentum methods, 3-D dynamics of rigid bodies;Aerospace Engineering
AE 2220R;AE 2220 Recitation;0;This recitation is an optional session in support of AE 2220. This course is designed to allow students the chance to apply their knowledge of concepts through problem solving and group discussions;Aerospace Engineering
AE 2221R;AE 2221 Recitation;0;This recitation is an optional session in support of AE 2221. This course is designed to allow students the chance to apply their knowledge of concepts through problem solving and group discussions;Aerospace Engineering
AE 2355;Aerospace Systems Design Competition II;3;Team-oriented aerospace systems design project directed by a faculty advisor. Typically a national student competition in aircraft, rotorcraft, or spacecraft design.  Technical role commensurate with sophomore standing;Aerospace Engineering
AE 2802;Special Topics;2;Normally taken by sophomores. Course material is devoted to special topics in aerospace engineering;Aerospace Engineering
AE 2803;Special Topics;3;Normally taken by sophomores. Course material devoted to special topics in aerospace engineering;Aerospace Engineering
AE 3030;Aerodynamics;4;Aerodynamics of airfoils and wings in subsonic, transonic and supersonic flight. Laminar and turbulent boundary layers and effects of viscosity on aerodynamic performance;Aerospace Engineering
AE 3030R;Aerodynamics Recitation;0;Recitation course for AE 3030;Aerospace Engineering
AE 3090;Numerical Methods for Aerospace Engineering;3;Basic numerical methods in Aerospace Engineering taught in Fortran or C, language instruction included.  Numerical integration, interpolation, FFT, linear algebra, initial and boundary value problems;Aerospace Engineering
